Date,Company,Industry,Location,Employees,Asking Price,Revenue,Cash Flow/SDE,Price/SDE,Distress Signals,Score,Deal Quality,Distress Score,Red Flags,Source,URL,Status,Days Listed
2026-03-25,Legacy NYC Union Plumbing Company,Plumbing,New York,,"$900,000",,"$922,000",0.98x,,45,45,0,,BizBuySell,https://www.bizbuysell.com/new-york/plumbing-businesses-for-sale/,new,0
2026-03-25,The owner/seller holds a New Jersey and New York State Master Plumbing ...,Plumbing,New Jersey,,"$1,200,000",,"$433,157",2.77x,,45,45,0,,BizBuySell,https://www.bizbuysell.com/new-jersey/plumbing-businesses-for-sale/,new,0
2026-03-25,The owner/seller holds a New Jersey and New York State Master Plumbing ...,Plumbing,New York,,"$1,200,000",,"$433,157",2.77x,,45,45,0,,BizBuySell,https://www.bizbuysell.com/new-york/new-york-city-metro-area/plumbing-businesses-for-sale/,new,0
2026-03-25,Compare Electric Co,Electrical,0005 Directions,,,,,,"low rating (2.0 stars), very few reviews (4), no website listed",14,0,24,no financials,Google Maps,https://www.google.com/maps/search/Compare+Electric+Co,new,0
2026-03-25,"Hub Plumbing & Heating: Plumber NYC, Plumber New York ...",Plumbing,New York City NY,,,,,,very few reviews (0),-2,0,8,no financials,Google Maps,https://hubplumbingnyc.com/,new,0
2026-03-25,Rite Plumbing NYC: Plumber NYC | Best Plumbing New York,Plumbing,6441 for Free Quote for all your plumbing needs.,,,,,,very few reviews (0),-2,0,8,no financials,Google Maps,https://riteplumbingnyc.com/,new,0
2026-03-26,C&H Electric IncMy Ad Center,Electrical,"3231 Industrial Electrical Services - Expert electricians for office, education, warehouse, plant, a",,,,,,"no website listed, review mention: ""closed""",6,0,16,no financials,Google Maps,https://www.google.com/maps/search/C&H+Electric+IncMy+Ad+Center,new,0
2026-03-26,Safe and Sound Electric,Electrical,Stamford CT,,,,,,"review mention: ""closed""",-2,0,8,no financials,Google Maps,https://safeandsoundelectric.com/?utm_source=gbp&utm_medium=organic,new,0
2026-03-26,Sterling Electric LLC,Electrical,Stamford CT,,,,,,"review mention: ""closed""",-2,0,8,no financials,Google Maps,https://www.beststamfordelectrician.com/,new,0
2026-03-30,Mel Carr Electric: Albany Electricians,Electrical,3042 or contact us online to schedule prompt & dependable service with our highly trained electricia,,,,,,very few reviews (0),-2,0,8,no financials,Google Maps,https://www.melcarrelectric.com/,new,0
2026-03-30,"Midway Electric: Licensed Electrician | New York, NY",Electrical,Yonkers NY,,,,,,very few reviews (0),-2,0,8,no financials,Google Maps,https://www.midwayelectricny.com/,new,0
2026-03-30,Macintosh Electric,Electrical,"595 Nepperhan Avenue , Yonkers, NY 10703",,,,,,very few reviews (0),-2,0,8,no financials,Google Maps,https://macintoshelectric.com/,new,0
